,Id,MSZoning,LotFrontage,LotArea,Street,Utilities,Neighborhood,BldgType,YearBuilt,RoofStyle,RoofMatl,MasVnrType,MasVnrArea,Foundation,TotalBsmtSF,CentralAir,Electrical,1stFlrSF,GrLivArea,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,GarageCars,PavedDrive,PoolArea,MiscVal,SaleType,SaleCondition,SalePrice
10,11,3.0,70.0,11200,1.0,0.0,19.0,0.0,1965,3.0,1.0,2.0,0.0,1.0,1040,1.0,4.0,1040,1040,3,1,3.0,5,0,1,2.0,0,0,8.0,4.0,129500
11,12,3.0,85.0,11924,1.0,0.0,16.0,0.0,2005,3.0,1.0,3.0,286.0,2.0,1175,1.0,4.0,1182,2324,4,1,0.0,11,2,3,2.0,0,0,6.0,5.0,345000
12,13,3.0,70.04995836802665,12968,1.0,0.0,19.0,0.0,1962,3.0,1.0,2.0,0.0,1.0,912,1.0,4.0,912,912,2,1,3.0,4,0,1,2.0,0,0,8.0,4.0,144000
13,14,3.0,91.0,10652,1.0,0.0,5.0,0.0,2006,1.0,1.0,3.0,306.0,2.0,1494,1.0,4.0,1494,1494,3,1,2.0,7,1,3,2.0,0,0,6.0,5.0,279500
14,15,3.0,70.04995836802665,10920,1.0,0.0,12.0,0.0,1960,3.0,1.0,1.0,212.0,1.0,1253,1.0,4.0,1253,1253,2,1,3.0,5,1,1,2.0,0,0,8.0,4.0,157000
15,16,4.0,51.0,6120,1.0,0.0,3.0,0.0,1929,1.0,1.0,2.0,0.0,0.0,832,1.0,0.0,854,854,2,1,3.0,5,0,2,2.0,0,0,8.0,4.0,132000
16,17,3.0,70.04995836802665,11241,1.0,0.0,12.0,0.0,1970,1.0,1.0,1.0,180.0,1.0,1004,1.0,4.0,1004,1004,2,1,3.0,5,1,2,2.0,0,700,8.0,4.0,149000
17,18,3.0,72.0,10791,1.0,0.0,19.0,2.0,1967,1.0,1.0,2.0,0.0,3.0,0,1.0,4.0,1296,1296,2,2,3.0,6,0,2,2.0,0,500,8.0,4.0,90000
18,19,3.0,66.0,13695,1.0,0.0,20.0,0.0,2004,1.0,1.0,2.0,0.0,2.0,1114,1.0,4.0,1114,1114,3,1,2.0,6,0,2,2.0,0,0,8.0,4.0,159000
19,20,3.0,70.0,7560,1.0,0.0,12.0,0.0,1958,3.0,1.0,2.0,0.0,1.0,1029,1.0,4.0,1339,1339,3,1,3.0,6,0,1,2.0,0,0,0.0,0.0,139000
20,21,3.0,101.0,14215,1.0,0.0,16.0,0.0,2005,1.0,1.0,1.0,380.0,2.0,1158,1.0,4.0,1158,2376,4,1,2.0,9,1,3,2.0,0,0,6.0,5.0,325300
21,22,4.0,57.0,7449,1.0,0.0,9.0,0.0,1930,1.0,1.0,2.0,0.0,2.0,637,1.0,1.0,1108,1108,3,1,2.0,6,1,1,0.0,0,0,8.0,4.0,139400
22,23,3.0,75.0,9742,1.0,0.0,5.0,0.0,2002,3.0,1.0,1.0,281.0,2.0,1777,1.0,4.0,1795,1795,3,1,2.0,7,1,2,2.0,0,0,8.0,4.0,230000
23,24,4.0,44.0,4224,1.0,0.0,10.0,4.0,1976,1.0,1.0,2.0,0.0,2.0,1040,1.0,4.0,1060,1060,3,1,3.0,6,1,2,2.0,0,0,8.0,4.0,129900
24,25,3.0,70.04995836802665,8246,1.0,0.0,19.0,0.0,1968,1.0,1.0,2.0,0.0,1.0,1060,1.0,4.0,1060,1060,3,1,2.0,6,1,1,2.0,0,0,8.0,4.0,154000
25,26,3.0,110.0,14230,1.0,0.0,16.0,0.0,2007,1.0,1.0,3.0,640.0,2.0,1566,1.0,4.0,1600,1600,3,1,2.0,7,1,3,2.0,0,0,8.0,4.0,256300
26,27,3.0,60.0,7200,1.0,0.0,12.0,0.0,1951,1.0,1.0,2.0,0.0,1.0,900,1.0,4.0,900,900,3,1,2.0,5,0,2,2.0,0,0,8.0,4.0,134800
27,28,3.0,98.0,11478,1.0,0.0,16.0,0.0,2007,1.0,1.0,3.0,200.0,2.0,1704,1.0,4.0,1704,1704,3,1,2.0,7,1,3,2.0,0,0,8.0,4.0,306000
28,29,3.0,47.0,16321,1.0,0.0,12.0,0.0,1957,1.0,1.0,2.0,0.0,1.0,1484,1.0,4.0,1600,1600,2,1,3.0,6,2,1,2.0,0,0,8.0,4.0,207500
29,30,4.0,60.0,6324,1.0,0.0,3.0,0.0,1927,1.0,1.0,2.0,0.0,0.0,520,0.0,4.0,520,520,1,1,1.0,4,0,1,2.0,0,0,8.0,4.0,68500
30,31,0.0,50.0,8500,1.0,0.0,9.0,0.0,1920,2.0,1.0,2.0,0.0,0.0,649,0.0,4.0,649,1317,3,1,3.0,6,0,1,0.0,0,0,8.0,4.0,40000
31,32,3.0,70.04995836802665,8544,1.0,0.0,19.0,0.0,1966,1.0,1.0,2.0,0.0,1.0,1228,1.0,4.0,1228,1228,3,1,2.0,6,0,1,2.0,0,0,8.0,4.0,149350
32,33,3.0,85.0,11049,1.0,0.0,5.0,0.0,2007,1.0,1.0,2.0,0.0,2.0,1234,1.0,4.0,1234,1234,3,1,2.0,7,0,2,2.0,0,0,8.0,4.0,179900
33,34,3.0,70.0,10552,1.0,0.0,12.0,0.0,1959,3.0,1.0,2.0,0.0,1.0,1398,1.0,4.0,1700,1700,4,1,2.0,6,1,2,2.0,0,0,8.0,4.0,165500
34,35,3.0,60.0,7313,1.0,0.0,16.0,4.0,2005,3.0,1.0,1.0,246.0,2.0,1561,1.0,4.0,1561,1561,2,1,0.0,6,1,2,2.0,0,0,8.0,4.0,277500
35,36,3.0,108.0,13418,1.0,0.0,16.0,0.0,2004,1.0,1.0,3.0,132.0,2.0,1117,1.0,4.0,1132,2452,4,1,2.0,9,1,3,2.0,0,0,8.0,4.0,309000
36,37,3.0,112.0,10859,1.0,0.0,5.0,0.0,1994,1.0,1.0,2.0,0.0,2.0,1097,1.0,4.0,1097,1097,3,1,3.0,6,0,2,2.0,0,0,8.0,4.0,145000
37,38,3.0,74.0,8532,1.0,0.0,12.0,0.0,1954,3.0,1.0,1.0,650.0,1.0,1297,1.0,4.0,1297,1297,3,1,3.0,5,1,2,2.0,0,0,8.0,4.0,153000
38,39,3.0,68.0,7922,1.0,0.0,12.0,0.0,1953,1.0,1.0,2.0,0.0,1.0,1057,1.0,4.0,1057,1057,3,1,2.0,5,0,1,2.0,0,0,8.0,0.0,109000
39,40,3.0,65.0,6040,1.0,0.0,7.0,2.0,1955,1.0,1.0,2.0,0.0,2.0,0,0.0,2.0,1152,1152,2,2,1.0,6,0,0,0.0,0,0,8.0,1.0,82000
40,41,3.0,84.0,8658,1.0,0.0,12.0,0.0,1965,1.0,1.0,1.0,101.0,1.0,1088,1.0,4.0,1324,1324,3,1,3.0,6,1,2,2.0,0,0,8.0,0.0,160000
41,42,3.0,115.0,16905,1.0,0.0,23.0,0.0,1959,1.0,1.0,2.0,0.0,1.0,1350,1.0,4.0,1328,1328,2,1,3.0,5,2,1,1.0,0,0,8.0,4.0,170000
42,43,3.0,70.04995836802665,9180,1.0,0.0,20.0,0.0,1983,1.0,1.0,2.0,0.0,1.0,840,1.0,4.0,884,884,2,1,2.0,5,0,2,2.0,0,0,8.0,4.0,144000
43,44,3.0,70.04995836802665,9200,1.0,0.0,5.0,0.0,1975,3.0,1.0,2.0,0.0,1.0,938,1.0,4.0,938,938,3,1,3.0,5,0,1,2.0,0,0,8.0,4.0,130250
44,45,3.0,70.0,7945,1.0,0.0,12.0,0.0,1959,1.0,1.0,2.0,0.0,1.0,1150,1.0,0.0,1150,1150,3,1,3.0,6,0,1,2.0,0,0,8.0,4.0,141000
45,46,3.0,61.0,7658,1.0,0.0,16.0,4.0,2005,3.0,1.0,1.0,412.0,2.0,1752,1.0,4.0,1752,1752,2,1,0.0,6,1,2,2.0,0,0,8.0,4.0,319900
46,47,3.0,48.0,12822,1.0,0.0,11.0,0.0,2003,1.0,1.0,2.0,0.0,2.0,1434,1.0,4.0,1518,2149,1,1,2.0,6,1,2,2.0,0,0,8.0,0.0,239686
47,48,1.0,84.0,11096,1.0,0.0,21.0,0.0,2006,1.0,1.0,2.0,0.0,2.0,1656,1.0,4.0,1656,1656,3,1,2.0,7,0,3,2.0,0,0,8.0,4.0,249700
48,49,4.0,33.0,4456,1.0,0.0,17.0,1.0,1920,1.0,1.0,2.0,0.0,0.0,736,1.0,4.0,736,1452,2,3,3.0,8,0,0,0.0,0,0,6.0,5.0,113000
49,50,3.0,66.0,7742,1.0,0.0,19.0,0.0,1966,1.0,1.0,2.0,0.0,1.0,955,1.0,4.0,955,955,3,1,3.0,6,0,1,2.0,0,0,8.0,4.0,127000
50,51,3.0,70.04995836802665,13869,1.0,0.0,8.0,0.0,1997,1.0,1.0,2.0,0.0,2.0,794,1.0,4.0,794,1470,3,1,3.0,6,0,2,2.0,0,0,8.0,4.0,177000
51,52,4.0,52.0,6240,1.0,0.0,3.0,0.0,1934,1.0,1.0,2.0,0.0,2.0,816,1.0,4.0,816,1176,3,1,3.0,6,1,2,2.0,0,400,8.0,4.0,114500
52,53,4.0,110.0,8472,0.0,0.0,9.0,2.0,1963,1.0,1.0,2.0,0.0,1.0,816,0.0,4.0,816,816,2,1,3.0,5,0,2,2.0,0,0,8.0,4.0,110000
53,54,3.0,68.0,50271,1.0,0.0,24.0,0.0,1981,1.0,7.0,2.0,0.0,1.0,1842,1.0,4.0,1842,1842,0,1,2.0,5,1,3,2.0,0,0,8.0,4.0,385000
54,55,3.0,60.0,7134,1.0,0.0,12.0,0.0,1955,1.0,1.0,2.0,0.0,1.0,384,1.0,4.0,1360,1360,3,1,3.0,6,1,2,2.0,0,0,8.0,4.0,130000
55,56,3.0,100.0,10175,1.0,0.0,12.0,0.0,1964,1.0,1.0,1.0,272.0,1.0,1425,1.0,4.0,1425,1425,3,1,3.0,7,1,2,2.0,0,0,8.0,4.0,180500
56,57,1.0,24.0,2645,1.0,0.0,21.0,3.0,1999,1.0,1.0,1.0,456.0,2.0,970,1.0,4.0,983,1739,3,1,2.0,7,0,2,2.0,0,0,8.0,0.0,172500
57,58,3.0,89.0,11645,1.0,0.0,5.0,0.0,2004,1.0,1.0,2.0,0.0,2.0,860,1.0,4.0,860,1720,3,1,2.0,7,0,2,2.0,0,0,8.0,4.0,196500
58,59,3.0,66.0,13682,1.0,0.0,22.0,0.0,2006,3.0,1.0,1.0,1031.0,2.0,1410,1.0,4.0,1426,2945,3,1,2.0,10,1,3,2.0,0,0,6.0,5.0,438780
59,60,3.0,60.0,7200,1.0,0.0,5.0,0.0,1972,1.0,1.0,2.0,0.0,1.0,780,1.0,4.0,780,780,2,1,3.0,4,0,1,2.0,0,0,8.0,4.0,124900
60,61,3.0,63.0,13072,1.0,0.0,20.0,0.0,2004,1.0,1.0,2.0,0.0,2.0,1158,1.0,4.0,1158,1158,3,1,2.0,5,0,2,2.0,0,0,6.0,5.0,158000
61,62,4.0,60.0,7200,1.0,0.0,9.0,0.0,1920,1.0,1.0,2.0,0.0,0.0,530,0.0,4.0,581,1111,3,1,1.0,6,0,1,0.0,0,0,8.0,4.0,101000
62,63,3.0,44.0,6442,1.0,0.0,16.0,4.0,2006,1.0,1.0,3.0,178.0,2.0,1370,1.0,4.0,1370,1370,2,1,2.0,6,1,2,2.0,0,0,8.0,4.0,202500
63,64,4.0,50.0,10300,1.0,0.0,17.0,0.0,1921,1.0,1.0,2.0,0.0,0.0,576,1.0,4.0,902,1710,3,1,3.0,9,0,2,2.0,0,0,8.0,4.0,140000
64,65,3.0,70.04995836802665,9375,1.0,0.0,5.0,0.0,1997,1.0,1.0,1.0,573.0,2.0,1057,1.0,4.0,1057,2034,3,1,2.0,8,0,2,2.0,0,0,8.0,4.0,219500
65,66,3.0,76.0,9591,1.0,0.0,16.0,0.0,2004,1.0,1.0,1.0,344.0,2.0,1143,1.0,4.0,1143,2473,4,1,2.0,9,1,3,2.0,0,0,8.0,4.0,317000
66,67,3.0,70.04995836802665,19900,1.0,0.0,12.0,0.0,1970,1.0,1.0,1.0,287.0,1.0,1947,1.0,4.0,2207,2207,3,1,3.0,7,1,2,2.0,0,0,8.0,4.0,180000
67,68,3.0,72.0,10665,1.0,0.0,5.0,0.0,2003,1.0,1.0,1.0,167.0,2.0,1453,1.0,4.0,1479,1479,3,1,2.0,7,0,2,2.0,0,0,8.0,4.0,226000
68,69,4.0,47.0,4608,1.0,0.0,17.0,0.0,1945,1.0,1.0,2.0,0.0,1.0,747,1.0,4.0,747,747,2,1,3.0,4,0,1,2.0,0,0,8.0,4.0,80000
69,70,3.0,81.0,15593,1.0,0.0,4.0,0.0,1953,1.0,1.0,2.0,0.0,1.0,1304,1.0,4.0,1304,2287,3,1,3.0,7,1,2,2.0,0,0,8.0,4.0,225000
70,71,3.0,95.0,13651,1.0,0.0,12.0,0.0,1973,1.0,1.0,1.0,1115.0,1.0,2223,1.0,4.0,2223,2223,3,1,3.0,8,2,2,2.0,0,0,8.0,4.0,244000
71,72,3.0,69.0,7599,1.0,0.0,11.0,0.0,1982,1.0,1.0,2.0,0.0,1.0,845,1.0,4.0,845,845,2,1,3.0,4,0,2,2.0,0,0,8.0,4.0,129500
72,73,3.0,74.0,10141,1.0,0.0,8.0,0.0,1998,1.0,1.0,1.0,40.0,2.0,832,1.0,4.0,885,1718,3,1,3.0,7,1,2,2.0,0,0,8.0,4.0,185000
73,74,3.0,85.0,10200,1.0,0.0,12.0,0.0,1954,1.0,1.0,1.0,104.0,1.0,1086,1.0,4.0,1086,1086,3,1,3.0,6,0,2,2.0,0,0,8.0,4.0,144900
74,75,4.0,60.0,5790,1.0,0.0,17.0,0.0,1915,2.0,1.0,2.0,0.0,1.0,840,0.0,4.0,840,1605,3,2,3.0,8,0,1,2.0,0,0,8.0,4.0,107400
75,76,4.0,21.0,1596,1.0,0.0,10.0,3.0,1973,1.0,1.0,2.0,0.0,1.0,462,1.0,4.0,526,988,2,1,3.0,5,0,1,2.0,0,0,8.0,4.0,91000
76,77,3.0,70.04995836802665,8475,1.0,0.0,12.0,0.0,1956,1.0,1.0,2.0,0.0,1.0,952,1.0,0.0,952,952,2,1,3.0,4,0,1,2.0,0,0,8.0,4.0,135750
77,78,4.0,50.0,8635,1.0,0.0,3.0,0.0,1948,1.0,1.0,2.0,0.0,1.0,672,1.0,4.0,1072,1285,2,1,3.0,6,0,1,2.0,0,0,8.0,4.0,127000
78,79,3.0,72.0,10778,1.0,0.0,19.0,2.0,1968,3.0,1.0,2.0,0.0,1.0,1768,0.0,4.0,1768,1768,4,2,3.0,8,0,0,2.0,0,0,8.0,4.0,136500
79,80,4.0,60.0,10440,1.0,0.0,17.0,0.0,1910,1.0,1.0,2.0,0.0,2.0,440,1.0,4.0,682,1230,2,1,3.0,5,0,2,2.0,0,0,8.0,4.0,110000
80,81,3.0,100.0,13000,1.0,0.0,12.0,0.0,1968,1.0,1.0,1.0,576.0,1.0,896,1.0,4.0,1182,2142,4,1,2.0,8,1,1,2.0,0,0,8.0,4.0,193500
81,82,4.0,32.0,4500,1.0,0.0,11.0,4.0,1998,3.0,1.0,1.0,443.0,2.0,1237,1.0,4.0,1337,1337,2,1,3.0,5,0,2,2.0,0,0,8.0,4.0,153500
82,83,3.0,78.0,10206,1.0,0.0,21.0,0.0,2007,1.0,1.0,3.0,468.0,2.0,1563,1.0,4.0,1563,1563,3,1,2.0,6,1,3,2.0,0,0,8.0,4.0,245000
83,84,3.0,80.0,8892,1.0,0.0,12.0,0.0,1960,1.0,1.0,0.0,66.0,1.0,1065,1.0,4.0,1065,1065,3,1,3.0,6,0,2,2.0,0,0,0.0,4.0,126500
84,85,3.0,70.04995836802665,8530,1.0,0.0,8.0,0.0,1995,1.0,1.0,1.0,22.0,2.0,384,1.0,4.0,804,1474,3,1,3.0,7,1,2,2.0,0,700,8.0,4.0,168500
85,86,3.0,121.0,16059,1.0,0.0,15.0,0.0,1991,3.0,1.0,1.0,284.0,1.0,1288,1.0,4.0,1301,2417,4,1,2.0,9,1,2,2.0,0,0,8.0,4.0,260000
86,87,3.0,122.0,11911,1.0,0.0,8.0,0.0,2005,1.0,1.0,2.0,0.0,2.0,684,1.0,4.0,684,1560,3,1,2.0,6,1,2,2.0,0,0,8.0,4.0,174000
87,88,1.0,40.0,3951,1.0,0.0,21.0,4.0,2009,1.0,1.0,3.0,76.0,2.0,612,1.0,4.0,612,1224,2,1,2.0,4,0,2,2.0,0,0,6.0,5.0,164500
88,89,0.0,105.0,8470,1.0,0.0,9.0,0.0,1915,3.0,1.0,2.0,0.0,1.0,1013,0.0,4.0,1013,1526,2,1,1.0,6,0,0,0.0,0,0,3.0,0.0,85000
89,90,3.0,60.0,8070,1.0,0.0,5.0,0.0,1994,1.0,1.0,2.0,0.0,2.0,990,1.0,4.0,990,990,3,1,3.0,5,0,0,2.0,0,0,8.0,4.0,123600
90,91,3.0,60.0,7200,1.0,0.0,12.0,0.0,1950,1.0,1.0,2.0,0.0,3.0,0,1.0,0.0,1040,1040,2,1,3.0,4,0,2,2.0,0,0,8.0,4.0,109900
91,92,3.0,85.0,8500,1.0,0.0,12.0,0.0,1961,3.0,1.0,0.0,203.0,1.0,1235,1.0,4.0,1235,1235,2,1,3.0,6,0,2,2.0,0,0,8.0,0.0,98600
92,93,3.0,80.0,13360,1.0,0.0,6.0,0.0,1921,1.0,1.0,2.0,0.0,0.0,876,1.0,4.0,964,964,2,1,3.0,5,0,2,2.0,0,0,8.0,4.0,163500
93,94,0.0,60.0,7200,1.0,0.0,17.0,1.0,1910,3.0,1.0,2.0,0.0,0.0,1214,0.0,4.0,1260,2291,4,2,3.0,9,1,2,2.0,0,0,8.0,4.0,133900
94,95,3.0,69.0,9337,1.0,0.0,5.0,0.0,1997,1.0,1.0,2.0,0.0,2.0,824,1.0,4.0,905,1786,3,1,2.0,7,0,2,2.0,0,0,8.0,4.0,204750
95,96,3.0,70.04995836802665,9765,1.0,0.0,8.0,0.0,1993,1.0,1.0,1.0,68.0,2.0,680,1.0,4.0,680,1470,3,1,3.0,6,1,2,2.0,0,480,8.0,4.0,185000
96,97,3.0,78.0,10264,1.0,0.0,5.0,0.0,1999,1.0,1.0,1.0,183.0,2.0,1588,1.0,4.0,1588,1588,3,1,2.0,6,0,2,2.0,0,0,8.0,4.0,214000
97,98,3.0,73.0,10921,1.0,0.0,7.0,0.0,1965,3.0,1.0,1.0,48.0,1.0,960,1.0,1.0,960,960,3,1,3.0,6,0,1,1.0,0,0,8.0,4.0,94750
98,99,3.0,85.0,10625,1.0,0.0,7.0,0.0,1920,1.0,1.0,2.0,0.0,0.0,458,0.0,4.0,835,835,2,1,3.0,5,0,1,2.0,0,400,0.0,0.0,83000
99,100,3.0,77.0,9320,1.0,0.0,12.0,0.0,1959,1.0,1.0,2.0,0.0,1.0,950,1.0,4.0,1225,1225,3,1,3.0,6,0,0,2.0,0,400,8.0,4.0,128950
100,101,3.0,70.04995836802665,10603,1.0,0.0,14.0,0.0,1977,1.0,1.0,1.0,28.0,2.0,1610,1.0,4.0,1610,1610,3,1,2.0,6,2,2,2.0,0,0,8.0,4.0,205000
101,102,3.0,77.0,9206,1.0,0.0,20.0,0.0,1985,1.0,1.0,1.0,336.0,1.0,741,1.0,4.0,977,1732,3,1,2.0,7,1,2,2.0,0,0,8.0,4.0,178000
102,103,3.0,64.0,7018,1.0,0.0,20.0,2.0,1979,1.0,1.0,2.0,0.0,3.0,0,1.0,4.0,1535,1535,4,2,3.0,8,0,2,2.0,0,0,8.0,2.0,118964
103,104,3.0,94.0,10402,1.0,0.0,5.0,0.0,2009,1.0,1.0,2.0,0.0,2.0,1226,1.0,4.0,1226,1226,3,1,2.0,6,0,3,2.0,0,0,8.0,4.0,198900
104,105,4.0,70.04995836802665,7758,1.0,0.0,9.0,0.0,1931,1.0,1.0,1.0,600.0,2.0,1040,1.0,1.0,1226,1818,4,1,3.0,7,2,1,2.0,0,0,8.0,4.0,169500
105,106,1.0,75.0,9375,1.0,0.0,21.0,0.0,2003,3.0,1.0,1.0,768.0,2.0,1053,1.0,4.0,1053,1992,3,1,2.0,9,1,2,2.0,0,0,8.0,4.0,250000
106,107,4.0,60.0,10800,1.0,0.0,17.0,0.0,1885,4.0,1.0,2.0,0.0,0.0,641,1.0,4.0,1047,1047,2,1,3.0,6,0,1,0.0,0,450,8.0,4.0,100000
107,108,4.0,50.0,6000,1.0,0.0,17.0,0.0,1948,1.0,1.0,2.0,0.0,1.0,789,1.0,4.0,789,789,2,1,3.0,5,0,1,2.0,0,0,8.0,5.0,115000
108,109,4.0,85.0,8500,1.0,0.0,9.0,0.0,1919,1.0,1.0,2.0,0.0,1.0,793,0.0,1.0,997,1517,3,1,1.0,7,0,0,0.0,0,0,8.0,4.0,115000
109,110,3.0,105.0,11751,1.0,0.0,14.0,0.0,1977,3.0,1.0,1.0,480.0,1.0,1844,1.0,4.0,1844,1844,3,1,3.0,7,1,2,2.0,0,0,0.0,4.0,190000
110,111,3.0,75.0,9525,1.0,0.0,7.0,0.0,1954,1.0,1.0,2.0,0.0,1.0,994,1.0,4.0,1216,1855,4,1,3.0,7,0,1,2.0,0,0,8.0,4.0,136900
111,112,3.0,70.04995836802665,7750,1.0,0.0,8.0,0.0,2000,1.0,1.0,2.0,0.0,2.0,384,1.0,4.0,774,1430,3,1,3.0,7,1,2,2.0,0,0,8.0,4.0,180000
112,113,3.0,77.0,9965,1.0,0.0,5.0,0.0,2007,1.0,1.0,3.0,220.0,2.0,1264,1.0,4.0,1282,2696,4,1,0.0,10,1,3,2.0,0,0,6.0,5.0,383970
113,114,3.0,70.04995836802665,21000,1.0,0.0,6.0,0.0,1953,3.0,1.0,1.0,184.0,1.0,1809,1.0,4.0,2259,2259,3,1,2.0,7,2,2,2.0,0,0,0.0,0.0,217000
114,115,3.0,61.0,7259,1.0,0.0,6.0,0.0,1945,2.0,1.0,2.0,0.0,1.0,1028,1.0,4.0,1436,2320,3,1,2.0,9,1,1,2.0,0,0,8.0,4.0,259500
115,116,1.0,34.0,3230,1.0,0.0,21.0,4.0,1999,1.0,1.0,1.0,1129.0,2.0,729,1.0,4.0,729,1458,2,1,3.0,5,1,2,2.0,0,0,8.0,4.0,176000
116,117,3.0,70.04995836802665,11616,1.0,0.0,19.0,0.0,1962,1.0,1.0,1.0,116.0,1.0,1092,1.0,4.0,1092,1092,3,1,3.0,6,1,1,2.0,0,0,8.0,4.0,139000
117,118,3.0,74.0,8536,1.0,0.0,7.0,0.0,2006,1.0,1.0,2.0,0.0,2.0,1125,1.0,4.0,1125,1125,2,1,3.0,5,0,2,2.0,0,0,6.0,5.0,155000
118,119,3.0,90.0,12376,1.0,0.0,20.0,0.0,1990,3.0,1.0,2.0,0.0,2.0,1673,1.0,4.0,1699,3222,5,1,2.0,11,2,3,2.0,0,0,8.0,4.0,320000
119,120,3.0,65.0,8461,1.0,0.0,5.0,0.0,2005,1.0,1.0,2.0,0.0,2.0,728,1.0,4.0,728,1456,3,1,2.0,8,1,2,2.0,0,0,6.0,5.0,163990
120,121,3.0,70.04995836802665,21453,1.0,0.0,4.0,0.0,1969,0.0,3.0,2.0,0.0,1.0,938,1.0,4.0,988,988,1,1,3.0,4,2,2,2.0,0,0,8.0,4.0,180000
121,122,4.0,50.0,6060,1.0,0.0,9.0,0.0,1939,1.0,1.0,2.0,0.0,2.0,732,1.0,4.0,772,1123,3,1,3.0,4,0,1,1.0,0,0,8.0,4.0,100000
122,123,3.0,75.0,9464,1.0,0.0,12.0,0.0,1958,3.0,1.0,1.0,135.0,1.0,1080,1.0,4.0,1080,1080,3,1,3.0,5,0,1,2.0,0,0,8.0,4.0,136000
123,124,3.0,55.0,7892,1.0,0.0,20.0,4.0,1993,1.0,1.0,2.0,0.0,2.0,1199,1.0,4.0,1199,1199,2,1,2.0,5,0,2,2.0,0,0,8.0,4.0,153900
124,125,3.0,48.0,17043,1.0,0.0,14.0,0.0,1979,1.0,1.0,2.0,0.0,1.0,1362,1.0,4.0,1586,1586,3,1,3.0,7,1,2,2.0,0,0,8.0,4.0,181000
125,126,4.0,60.0,6780,1.0,0.0,9.0,1.0,1935,1.0,1.0,2.0,0.0,1.0,520,0.0,4.0,520,754,2,1,3.0,5,0,0,0.0,0,0,8.0,4.0,84500
126,127,3.0,70.04995836802665,4928,1.0,0.0,13.0,4.0,1976,1.0,1.0,2.0,0.0,1.0,1078,1.0,4.0,958,958,2,1,3.0,5,1,2,2.0,0,0,8.0,4.0,128000
127,128,4.0,55.0,4388,1.0,0.0,17.0,0.0,1930,1.0,1.0,2.0,0.0,0.0,672,1.0,4.0,840,840,3,1,3.0,5,1,0,0.0,0,0,8.0,4.0,87000
128,129,3.0,69.0,7590,1.0,0.0,12.0,0.0,1966,1.0,1.0,1.0,266.0,1.0,660,1.0,4.0,660,1348,3,1,3.0,6,1,2,2.0,0,0,8.0,4.0,155000
129,130,3.0,69.0,8973,1.0,0.0,12.0,0.0,1958,1.0,1.0,1.0,85.0,1.0,1008,1.0,0.0,1053,1053,3,1,0.0,6,0,2,2.0,0,0,8.0,0.0,150000
130,131,3.0,88.0,14200,1.0,0.0,12.0,0.0,1966,1.0,1.0,1.0,309.0,1.0,924,1.0,4.0,1216,2157,4,1,2.0,8,2,2,2.0,0,0,8.0,4.0,226000
